name_long;member_of_EUFORGEN;remarks_EUFORGEN
Albania;NO;2000-2004
Andorra;NO;the
Austria;YES;1994-2009 since 2017
Belarus;NO;2000-2004
Belgium;YES;1994-2009 since 2017
Bosnia and Herzegovina;NO;Provides data to the EUFGIS
Bulgaria;NO;2000-2014
Croatia;YES;1994
Cyprus;NO;2000-2009
Czech Republic;YES;1994
Denmark;YES;1994
Estonia;YES;1994
Finland;YES;1994
France;YES;1994
TFYR Macedonia;NO;2000-2004
Georgia;NO;1994-1999
Germany;YES;1994
Greece;NO;1994-1999 and 2005-2014
Hungary;YES;1994
Iceland;YES;2005-2009 and since 2016
Ireland;YES;2000
Italy;YES;1994
Latvia;NO;1994-1999
Liechtenstein;NO;
Lithuania;YES;1994
Luxembourg;YES;1994
Malta;NO;1994-2004
Moldova;YES;1994-1999 and since 2015
Monaco;NO;1994-1999
Montenegro;NO;2000-2004 (as Serbia and Montenegro)
Netherlands;YES;1994
Norway;YES;1994
Poland;YES;1994
Portugal;NO;1994-2009
Romania;NO;2005-2009
Russian Federation;NO;1994-1999
Serbia;YES;Since 2005 and in 2000-2004 (as Serbia and Montenegro)
Slovakia;YES;1994
Slovenia;YES;1994
Spain;NO;1994-2014
Sweden;YES;1994
Switzerland;YES;1994
Turkey;YES;1994
Ukraine;NO;1994-1999
United Kingdom;YES;2000
